LEMMA,FREQUENCY,f/M,LOG F/M,,
ριχτάρι,1,0.74,0.87,Loading...,
ριχτός,1,0.74,0.87,Loading...,
ριψοκινδυνεύω,1,0.74,0.87,Loading...,
ροδίζω,1,0.74,0.87,Loading...,
ροδισμένος,1,0.74,0.87,Loading...,
ροδίτισσα,1,0.74,0.87,Loading...,
ροδοδάφνη,1,0.74,0.87,Loading...,
ροδοκοκκινίζω,1,0.74,0.87,Loading...,
ροδοκοκκίνισμα,1,0.74,0.87,Loading...,
ροδόπολη,1,0.74,0.87,Loading...,
ροδοστάφυλλο,1,0.74,0.87,шиповник,
ροδοψημένος,1,0.74,0.87,Loading...,
ροζέ,1,0.74,0.87,Loading...,
ρουάντα,1,0.74,0.87,Loading...,
ρουκέτα,1,0.74,0.87,Loading...,
ρούμπα,1,0.74,0.87,Loading...,
ρουμποκομπολογής,1,0.74,0.87,рубрика,
ρούπελ,1,0.74,0.87,рубль,
ρούσος,1,0.74,0.87,Loading...,
ρουτίνα,1,0.74,0.87,Loading...,
ρουφηξιά,1,0.74,0.87,Loading...,
ροφός,1,0.74,0.87,групер,
ρύγχος,1,0.74,0.87,Loading...,
ρυμοτομικός,1,0.74,0.87,Loading...,
ρυμουλκώ,1,0.74,0.87,Loading...,
ρυπαντικός,1,0.74,0.87,Loading...,
ρωμαιόπουλο,1,0.74,0.87,ромаопулос,
ρωπογραφία,1,0.74,0.87,Loading...,
ρώσικος,1,0.74,0.87,Loading...,
σάβανο,1,0.74,0.87,Loading...,
σαθρός,1,0.74,0.87,Loading...,
σακατεύω,1,0.74,0.87,Loading...,
σαλαμάντρα,1,0.74,0.87,Loading...,
σαλαμινομάχος,1,0.74,0.87,Loading...,
σαλατιέρα,1,0.74,0.87,Loading...,
σαλάχι,1,0.74,0.87,Loading...,
σαλιάρης,1,0.74,0.87,Loading...,
σαλμονέλα,1,0.74,0.87,Loading...,
σάλος,1,0.74,0.87,Loading...,
σαλπάρω,1,0.74,0.87,отплыть,
σαλπιγκτής,1,0.74,0.87,Loading...,
σαλπίζω,1,0.74,0.87,Loading...,
σάλπισμα,1,0.74,0.87,Loading...,
σαλτσιέρα,1,0.74,0.87,Loading...,
σαλτσούλα,1,0.74,0.87,Loading...,
σαμάρι,1,0.74,0.87,Loading...,
σαμιαμίδι,1,0.74,0.87,Loading...,
σαμιώτης,1,0.74,0.87,Loading...,
σαμοθήριο,1,0.74,0.87,Loading...,
σαμόσατα,1,0.74,0.87,Loading...,
σάμπα,1,0.74,0.87,Loading...,
σαμποτάζ,1,0.74,0.87,Loading...,
σανίδι,1,0.74,0.87,Loading...,
σαουδικός,1,0.74,0.87,Loading...,
σάπισμα,1,0.74,0.87,Loading...,
σαπουνάδα,1,0.74,0.87,Loading...,
σαπούνισμα,1,0.74,0.87,Loading...,
σαπουνοθήκη,1,0.74,0.87,мыльница,
σάρα,1,0.74,0.87,Loading...,
σαραβαλιάζω,1,0.74,0.87,Loading...,
σαράι,1,0.74,0.87,Loading...,
σαράκι,1,0.74,0.87,Loading...,
σαρακοφαγωμένο,1,0.74,0.87,Loading...,
σαρανταποδαρούσα,1,0.74,0.87,Loading...,
σαραντάπορο,1,0.74,0.87,Loading...,
σαρανταριά,1,0.74,0.87,Loading...,
σαραντίζω,1,0.74,0.87,Loading...,
σάραπης,1,0.74,0.87,Loading...,
σαργός,1,0.74,0.87,Loading...,
σαρίκι,1,0.74,0.87,Loading...,
σαρκώδης,1,0.74,0.87,Loading...,
σαρκώνω,1,0.74,0.87,Loading...,
σασάκι,1,0.74,0.87,Loading...,
σατανικός,1,0.74,0.87,Loading...,
σατραπεία,1,0.74,0.87,Loading...,
σάτυρος,1,0.74,0.87,Loading...,
σαύλος,1,0.74,0.87,Loading...,
σαφράν,1,0.74,0.87,Loading...,
σάχης,1,0.74,0.87,Loading...,
σαχλαμάρα,1,0.74,0.87,мелочь,
σαχλός,1,0.74,0.87,Loading...,
σβηστός,1,0.74,0.87,Loading...,
σβολιάζω,1,0.74,0.87,Loading...,
σγουρομάλλα,1,0.74,0.87,Loading...,
σγουρομάλλης,1,0.74,0.87,Loading...,
σεβάστεια,1,0.74,0.87,Loading...,
σεγκόβια,1,0.74,0.87,Loading...,
σεζλόνγκ,1,0.74,0.87,Loading...,
σείριος,1,0.74,0.87,Loading...,
σεισμολόγος,1,0.74,0.87,Loading...,
σεληνάκατος,1,0.74,0.87,Loading...,
σεληνιακός,1,0.74,0.87,Loading...,
σεληνόφως,1,0.74,0.87,Loading...,
σέλινο,1,0.74,0.87,Loading...,
σελώνω,1,0.74,0.87,Loading...,
σεμνοπρεπής,1,0.74,0.87,Loading...,
σεναριογραφία,1,0.74,0.87,Loading...,
σεντς,1,0.74,0.87,Loading...,
σεξουαλικός,1,0.74,0.87,Loading...,
σεπόλια,1,0.74,0.87,Loading...,
σεράι,1,0.74,0.87,Loading...,
σέρβις,1,0.74,0.87,Loading...,
σερβίτσιο,1,0.74,0.87,Loading...,
σεργκέι,1,0.74,0.87,Loading...,
σερπαντίνα,1,0.74,0.87,Loading...,
σερφάρισμα,1,0.74,0.87,Loading...,
σέρφινγκ,1,0.74,0.87,Loading...,
σεσουάρ,1,0.74,0.87,Loading...,
σήκωμα,1,0.74,0.87,Loading...,
σηκωμός,1,0.74,0.87,Loading...,
σηκωτός,1,0.74,0.87,Loading...,
σημαδιακός,1,0.74,0.87,Loading...,
σημαδούρα,1,0.74,0.87,Loading...,
σημαιοφόρος,1,0.74,0.87,знаменосец,
σημασιολογία,1,0.74,0.87,Loading...,
σημειολογία,1,0.74,0.87,Loading...,
σημειωτός,1,0.74,0.87,Loading...,
σιαμαίος,1,0.74,0.87,Loading...,
σιγανοπατώ,1,0.74,0.87,Loading...,
σιγοβράζω,1,0.74,0.87,Loading...,
σιγοκλαίω,1,0.74,0.87,пуле,
σιγομουρμουρίζω,1,0.74,0.87,Loading...,
σιγοπατώ,1,0.74,0.87,Loading...,
σιγοσφυρίζω,1,0.74,0.87,Loading...,
σιγώ,1,0.74,0.87,Loading...,
σιδεράς,1,0.74,0.87,Loading...,
σιδεροφράχτης,1,0.74,0.87,Loading...,
σιδηρόκαστρο,1,0.74,0.87,железный замок,
σιδηροκέφαλος,1,0.74,0.87,Loading...,
σιδηροπενικός,1,0.74,0.87,Loading...,
σιδηροτροχιά,1,0.74,0.87,Loading...,
σιδηρουργία,1,0.74,0.87,Loading...,
σιδηρούς,1,0.74,0.87,Loading...,
σικάγο,1,0.74,0.87,Loading...,
σιλό,1,0.74,0.87,силос,
σιμώνω,1,0.74,0.87,Loading...,
σινάπι,1,0.74,0.87,Loading...,
σινιάλο,1,0.74,0.87,Loading...,
σιντάρτα,1,0.74,0.87,Loading...,
σίντνεϊ,1,0.74,0.87,Loading...,
σινώπη,1,0.74,0.87,Loading...,
σιξτίνα,1,0.74,0.87,Loading...,
σίριαλ,1,0.74,0.87,Loading...,
σισανές,1,0.74,0.87,Loading...,
σιταρένιος,1,0.74,0.87,Loading...,
σιταροκάραβο,1,0.74,0.87,Loading...,
σιταρόσπορος,1,0.74,0.87,Loading...,
σιτιστής,1,0.74,0.87,Loading...,
σιτοχώραφο,1,0.74,0.87,Loading...,
σιφώνι,1,0.74,0.87,Loading...,
σιών,1,0.74,0.87,Loading...,
σκαιός,1,0.74,0.87,Loading...,
σκαλωσιά,1,0.74,0.87,Loading...,
σκανδιναβικός,1,0.74,0.87,Loading...,
σκανδιναβός,1,0.74,0.87,Loading...,
σκαπάνη,1,0.74,0.87,Loading...,
σκαρπίνι,1,0.74,0.87,Loading...,
σκασιαρχείο,1,0.74,0.87,Loading...,
σκαστός,1,0.74,0.87,Loading...,
σκέιτινγκ,1,0.74,0.87,катание на коньках,
σκελίδα,1,0.74,0.87,гвоздика,
σκεμπές,1,0.74,0.87,Loading...,
σκεπάρνι,1,0.74,0.87,Loading...,
σκεπαστός,1,0.74,0.87,Loading...,
σκευάζω,1,0.74,0.87,Loading...,
σκηνίτης,1,0.74,0.87,палаточный мастер,
σκηνοθετικός,1,0.74,0.87,Loading...,
σκηνοθέτρια,1,0.74,0.87,Loading...,
σκήτη,1,0.74,0.87,Loading...,
σκιαγραφώ,1,0.74,0.87,Loading...,
σκιαθίτης,1,0.74,0.87,Loading...,
σκιαμαχώ,1,0.74,0.87,Loading...,
σκίρτημα,1,0.74,0.87,Loading...,
σκιώδης,1,0.74,0.87,подозрительный,
σκλαβοπάζαρο,1,0.74,0.87,Loading...,
σκλαβόπουλο,1,0.74,0.87,Loading...,
σκληρόκαρδος,1,0.74,0.87,Loading...,
σκληροτράχηλος,1,0.74,0.87,Loading...,
σκολίωση,1,0.74,0.87,Loading...,
σκοπευτής,1,0.74,0.87,Loading...,
σκοράρισμα,1,0.74,0.87,Loading...,
σκορδομακάρονο,1,0.74,0.87,Loading...,
σκουός,1,0.74,0.87,Loading...,
σκουπιδαριό,1,0.74,0.87,Loading...,
σκουπιδιάρης,1,0.74,0.87,Loading...,
σκουπιδιάρικο,1,0.74,0.87,Loading...,
σκουπιδόπαιδο,1,0.74,0.87,Loading...,
σκουφίτσα,1,0.74,0.87,Loading...,
σκρουτζ,1,0.74,0.87,Loading...,
σκυλόψαρο,1,0.74,0.87,Loading...,
σκύψιμο,1,0.74,0.87,Loading...,
σμαραγδένιος,1,0.74,0.87,Loading...,
σμηναγός,1,0.74,0.87,Loading...,
σμήναρχος,1,0.74,0.87,Loading...,
σμηνίτης,1,0.74,0.87,Loading...,
σμικρύνω,1,0.74,0.87,Loading...,
σμίξιμο,1,0.74,0.87,Loading...,
σμυρνιώτικος,1,0.74,0.87,Loading...,
σνομπ,1,0.74,0.87,Loading...,
σοβαντίζω,1,0.74,0.87,Loading...,
σοβαρεύω,1,0.74,0.87,Loading...,
σοβαροφανής,1,0.74,0.87,Loading...,
σοβατζής,1,0.74,0.87,Loading...,
σοκολατοποιία,1,0.74,0.87,Loading...,
σολίστ,1,0.74,0.87,солист,
σολίστας,1,0.74,0.87,солист,
σολιστικός,1,0.74,0.87,Loading...,
σολομός,1,0.74,0.87,Loading...,
σορός,1,0.74,0.87,Loading...,
σουαχίλι,1,0.74,0.87,Loading...,
σουβλάκι,1,0.74,0.87,Loading...,
σουβλίζω,1,0.74,0.87,пронзить,
σουηδικός,1,0.74,0.87,Loading...,
σουλεϊμάν,1,0.74,0.87,Loading...,
σούλης,1,0.74,0.87,Loading...,
σουλιώτης,1,0.74,0.87,Loading...,
σουλιώτικος,1,0.74,0.87,Loading...,
σούμπερτ,1,0.74,0.87,Loading...,
σούμπιτο,1,0.74,0.87,Loading...,
σουπερμάρκετ,1,0.74,0.87,Loading...,
σουρεαλισμός,1,0.74,0.87,Loading...,
σουρμελή,1,0.74,0.87,Loading...,
σούρσιμο,1,0.74,0.87,чавканье,
σουρώνω,1,0.74,0.87,Loading...,
σουσού,1,0.74,0.87,сусу,
σουτζουκάκι,1,0.74,0.87,Loading...,
σουφλί,1,0.74,0.87,Loading...,
σουφρώνω,1,0.74,0.87,Loading...,
σοφάς,1,0.74,0.87,Loading...,
σοφερίνα,1,0.74,0.87,Loading...,
σόφισμα,1,0.74,0.87,софизм,
σοφιστής,1,0.74,0.87,Loading...,
σοφιστική,1,0.74,0.87,софистический,
σοφτ,1,0.74,0.87,Loading...,
σπαγγοραμμένος,1,0.74,0.87,Loading...,
σπαθίζω,1,0.74,0.87,Loading...,
σπανακολαδόπιτα,1,0.74,0.87,Loading...,
σπανός,1,0.74,0.87,Loading...,
σπαράγγι,1,0.74,0.87,спаржа,
σπαραγμός,1,0.74,0.87,Loading...,
σπάργανο,1,0.74,0.87,Loading...,
σπάτα,1,0.74,0.87,Loading...,
σπάταλος,1,0.74,0.87,расточительный,
σπερµώ,1,0.74,0.87,Loading...,
σπέσιαλ,1,0.74,0.87,Loading...,
σπεσιαλιτέ,1,0.74,0.87,Loading...,
σπηλαιολόγος,1,0.74,0.87,Loading...,
σπήλιο,1,0.74,0.87,Loading...,
σπιθίζω,1,0.74,0.87,Loading...,
σπινθηροβολώ,1,0.74,0.87,Loading...,
σπιούνος,1,0.74,0.87,Loading...,
σπιράλ,1,0.74,0.87,Loading...,
σπιρτόξυλο,1,0.74,0.87,Loading...,
σπιτόγατος,1,0.74,0.87,оставайтесь дома,
σπιτοκαλυβάκι,1,0.74,0.87,Loading...,
σπιτούλης,1,0.74,0.87,домохозяйка,
σπογγαλιεία,1,0.74,0.87,Loading...,
σπογγαλιευτικός,1,0.74,0.87,Loading...,
σπογγώδης,1,0.74,0.87,Loading...,
σποραδικός,1,0.74,0.87,Loading...,
σπορέας,1,0.74,0.87,Loading...,
σπουδαστήριο,1,0.74,0.87,Loading...,
σπουδαστικός,1,0.74,0.87,Loading...,
σταβλίζω,1,0.74,0.87,Loading...,
σταδίες,1,0.74,0.87,Loading...,
σταδιοδρόμος,1,0.74,0.87,Loading...,
σταδιοδρομώ,1,0.74,0.87,Loading...,
στάδιος,1,0.74,0.87,Loading...,
σταθεροποιητής,1,0.74,0.87,Loading...,
σταθμαρχείο,1,0.74,0.87,здание вокзала,
στακάτο,1,0.74,0.87,Loading...,
σταλαματιά,1,0.74,0.87,Loading...,
σταλιά,1,0.74,0.87,Loading...,
σταλίτσα,1,0.74,0.87,небольшой камень,
σταματημός,1,0.74,0.87,Loading...,
σταμνί,1,0.74,0.87,Loading...,
σταρ,1,0.74,0.87,Loading...,
σταρένιος,1,0.74,0.87,Loading...,
σταρόχρωμα,1,0.74,0.87,Loading...,
στασιάζω,1,0.74,0.87,Loading...,
στατική,1,0.74,0.87,Loading...,
σταύλος,1,0.74,0.87,Loading...,
σταύραινα,1,0.74,0.87,Loading...,
σταυρέλι,1,0.74,0.87,Loading...,
σταυρί,1,0.74,0.87,Loading...,
σταυροκοπιέμαι,1,0.74,0.87,Loading...,
σταυροπροσκύνηση,1,0.74,0.87,Loading...,
σταύρωμα,1,0.74,0.87,Loading...,
σταφυλή,1,0.74,0.87,язычок,
σταφυλόκοκκος,1,0.74,0.87,Loading...,
σταχτομαζώχτρα,1,0.74,0.87,Loading...,
σταχτοδέλφινο,1,0.74,0.87,Loading...,
σταχτοτσικνιά,1,0.74,0.87,Loading...,
σταχτοχήνα,1,0.74,0.87,Loading...,
σταχυάζω,1,0.74,0.87,Loading...,
στάχυασμα,1,0.74,0.87,Loading...,
σταχυολογώ,1,0.74,0.87,Loading...,
στέγαστρο,1,0.74,0.87,Loading...,
στεγόσαυρος,1,0.74,0.87,Loading...,
στείβω,1,0.74,0.87,Loading...,
στέισιον,1,0.74,0.87,Loading...,
στελεχώνω,1,0.74,0.87,Loading...,
στενάζω,1,0.74,0.87,Loading...,
στενόχωρος,1,0.74,0.87,Loading...,
στένωση,1,0.74,0.87,Loading...,
στέρεος,1,0.74,0.87,Loading...,
στέρημα,1,0.74,0.87,лишение,
στεριώνω,1,0.74,0.87,Loading...,
στεροειδές,1,0.74,0.87,Loading...,
στέψη,1,0.74,0.87,коронация,
στήθι,1,0.74,0.87,Loading...,
στηθικός,1,0.74,0.87,Loading...,
στηθοκοπώ,1,0.74,0.87,Loading...,
στηλιτεύω,1,0.74,0.87,Loading...,
στήμονας,1,0.74,0.87,Loading...,
στήσιμο,1,0.74,0.87,настраивать,
στικ,1,0.74,0.87,палка,
στιούαρτ,1,0.74,0.87,Loading...,
στιχογράφος,1,0.74,0.87,Loading...,
στιχοπλόκος,1,0.74,0.87,Loading...,
στιχούργημα,1,0.74,0.87,Loading...,
στιχουργικός,1,0.74,0.87,Loading...,
στοίβαγμα,1,0.74,0.87,Loading...,
στοιβάζω,1,0.74,0.87,Loading...,
στοιχειοθεσία,1,0.74,0.87,Loading...,
στοιχειοθέτηση,1,0.74,0.87,Loading...,
στοιχειοθετώ,1,0.74,0.87,Loading...,
στοίχιση,1,0.74,0.87,Loading...,
στοίχος,1,0.74,0.87,Loading...,
στόκος,1,0.74,0.87,Loading...,
στοκχόλμη,1,0.74,0.87,Loading...,
στομάχιασα,1,0.74,0.87,Loading...,
στόμφος,1,0.74,0.87,напыщенность,
στουδίτης,1,0.74,0.87,Loading...,
στουρνάρα,1,0.74,0.87,Loading...,
στόφα,1,0.74,0.87,Loading...,
στοχάζομαι,1,0.74,0.87,Loading...,
στοχασμός,1,0.74,0.87,Loading...,
στραβοκάνης,1,0.74,0.87,Loading...,
στραβοκοιτάζω,1,0.74,0.87,Loading...,
στραβοπερπατώ,1,0.74,0.87,Loading...,
στράβων,1,0.74,0.87,Loading...,
στραγάλι,1,0.74,0.87,Loading...,
στρακαστρούκα,1,0.74,0.87,Loading...,
στρασβούργο,1,0.74,0.87,Loading...,
στρατηλάτης,1,0.74,0.87,Loading...,
στρατής,1,0.74,0.87,Loading...,
στρατιοτόπι,1,0.74,0.87,Loading...,
στρατοδικείο,1,0.74,0.87,Loading...,
στρατοκρατία,1,0.74,0.87,Loading...,
στρατοκρατικός,1,0.74,0.87,Loading...,
στρατονομία,1,0.74,0.87,Loading...,
στρατώνα,1,0.74,0.87,Loading...,
στρες,1,0.74,0.87,Loading...,
στρέψη,1,0.74,0.87,кручение,
στριγγλίζω,1,0.74,0.87,Loading...,
στρίμωγμα,1,0.74,0.87,сжимать,
στριφογυρνάω,1,0.74,0.87,Loading...,
στριφτάρι,1,0.74,0.87,Loading...,
στρίψιμο,1,0.74,0.87,Loading...,
στροβιλισμός,1,0.74,0.87,Loading...,
στρογγύλεμα,1,0.74,0.87,Loading...,
στρογγυλοκάθομαι,1,0.74,0.87,Loading...,
στρογγυλοπρόσωπος,1,0.74,0.87,Loading...,
στρόφιγγα,1,0.74,0.87,Loading...,
στροφόμετρο,1,0.74,0.87,Loading...,
στρυμονικός,1,0.74,0.87,Loading...,
στρυχνίνη,1,0.74,0.87,Loading...,
στρωματσάδα,1,0.74,0.87,Loading...,
στύγα,1,0.74,0.87,Loading...,
στυλιανός,1,0.74,0.87,Loading...,
στυλίδα,1,0.74,0.87,Loading...,
στυλοβάτης,1,0.74,0.87,Loading...,
στύλωση,1,0.74,0.87,Loading...,
στυφός,1,0.74,0.87,Loading...,
στωικός,1,0.74,0.87,Loading...,
συµφιλιώνοµαι,1,0.74,0.87,Loading...,
σύβαρη,1,0.74,0.87,Loading...,
συγγενεύω,1,0.74,0.87,Loading...,
συγκατάβαση,1,0.74,0.87,Loading...,
συγκατοικώ,1,0.74,0.87,Loading...,
συγκινησιακός,1,0.74,0.87,Loading...,
συγκοινωνιολόγος,1,0.74,0.87,Loading...,
συγκοινωνών,1,0.74,0.87,Loading...,
συγκόλληση,1,0.74,0.87,Loading...,
συγκοπή,1,0.74,0.87,Loading...,
συγκράτηση,1,0.74,0.87,Loading...,
συγκυρίαρχος,1,0.74,0.87,Loading...,
συγχωρητικότητα,1,0.74,0.87,Loading...,
συζητήσιμος,1,0.74,0.87,Loading...,
συζητητής,1,0.74,0.87,Loading...,
συκομουριά,1,0.74,0.87,Loading...,
συκοφάντης,1,0.74,0.87,Loading...,
συλλαβιστός,1,0.74,0.87,Loading...,
συλλειτουργώ,1,0.74,0.87,Я сотрудничаю,
συμβαδίζω,1,0.74,0.87,Loading...,
συμβατός,1,0.74,0.87,Loading...,
συμπαθής,1,0.74,0.87,Loading...,
συμπίεση,1,0.74,0.87,Loading...,
συμπλέκομαι,1,0.74,0.87,Loading...,
συμπροσκυνώ,1,0.74,0.87,Loading...,
συμφέρων,1,0.74,0.87,Loading...,
συμφόρηση,1,0.74,0.87,Loading...,
συναθροίζω,1,0.74,0.87,Loading...,
συναίνεση,1,0.74,0.87,Loading...,
συναίρεση,1,0.74,0.87,Loading...,
συναλλαγματική,1,0.74,0.87,Loading...,
συναλλαγματικός,1,0.74,0.87,обменный курс,
συναξαριστής,1,0.74,0.87,Loading...,
συναπάντημα,1,0.74,0.87,Loading...,
συναποφασίζω,1,0.74,0.87,Loading...,
συνάρτηση,1,0.74,0.87,функция,
συνδεσμολογία,1,0.74,0.87,Loading...,
συνδιαλέγομαι,1,0.74,0.87,Loading...,
συνδικαλισμός,1,0.74,0.87,Loading...,
συνδοξαζόμενος,1,0.74,0.87,Loading...,
συνδράμω,1,0.74,0.87,Loading...,
συνδρομήτρια,1,0.74,0.87,Loading...,
συνδυαστικός,1,0.74,0.87,Loading...,
συνεγείρω,1,0.74,0.87,Loading...,
σύνεδρος,1,0.74,0.87,Loading...,
συνειδητοποίηση,1,0.74,0.87,Loading...,
συνεκτιμώ,1,0.74,0.87,Loading...,
συνεπάγομαι,1,0.74,0.87,Loading...,
συνεπιβάτης,1,0.74,0.87,Loading...,
σύνεργο,1,0.74,0.87,Loading...,
συνεταιριστικός,1,0.74,0.87,Loading...,
συνέχω,1,0.74,0.87,Loading...,
συνηµµένος,1,0.74,0.87,Loading...,
συνήθειο,1,0.74,0.87,Loading...,
συνιδιοκτήτης,1,0.74,0.87,Loading...,
συννεφόδεντρο,1,0.74,0.87,Loading...,
συννεφολεωφορείο,1,0.74,0.87,Loading...,
σύννομος,1,0.74,0.87,законный,
συνοδηγός,1,0.74,0.87,Loading...,
σύνολος,1,0.74,0.87,Loading...,
συνονόματος,1,0.74,0.87,Loading...,
συνταγολόγιο,1,0.74,0.87,Loading...,
συνταιριάζω,1,0.74,0.87,Loading...,
σύνταμα,1,0.74,0.87,Loading...,
συνταξιοδότηση,1,0.74,0.87,Loading...,
συνταξιοδοτώ,1,0.74,0.87,Loading...,
συνταρακτικός,1,0.74,0.87,Loading...,
σύντηξη,1,0.74,0.87,Loading...,
συντηρητικότητα,1,0.74,0.87,Loading...,
συντηρητισμός,1,0.74,0.87,Loading...,
συντόμως,1,0.74,0.87,Loading...,
συντρέχω,1,0.74,0.87,Loading...,
συντριβάνι,1,0.74,0.87,Loading...,
σύντριμμα,1,0.74,0.87,Loading...,
συντρίμμι,1,0.74,0.87,Loading...,
συντρόφισσα,1,0.74,0.87,Loading...,
συνυπεύθυνος,1,0.74,0.87,Loading...,
συνυπογράφω,1,0.74,0.87,Loading...,
συνυφαίνω,1,0.74,0.87,Loading...,
συρακούσιος,1,0.74,0.87,Loading...,
συρία,1,0.74,0.87,Loading...,
συριανός,1,0.74,0.87,Loading...,
σύριγμα,1,0.74,0.87,Loading...,
συρματόσκοινο,1,0.74,0.87,Loading...,
συρμένος,1,0.74,0.87,тащил,
συρμή,1,0.74,0.87,Loading...,
συρράπτω,1,0.74,0.87,Loading...,
συρρέω,1,0.74,0.87,Loading...,
σύρριζα,1,0.74,0.87,Loading...,
συσκευαστής,1,0.74,0.87,Loading...,
συσκοτίζω,1,0.74,0.87,Loading...,
συσκότιση,1,0.74,0.87,Loading...,
συσπειρώνω,1,0.74,0.87,Loading...,
συσσωρεύω,1,0.74,0.87,Loading...,
συστηματοποίηση,1,0.74,0.87,Loading...,
συστηματοποιώ,1,0.74,0.87,Loading...,
συστρατιώτης,1,0.74,0.87,Loading...,
συσχέτιση,1,0.74,0.87,Loading...,
συχαρίκια,1,0.74,0.87,Loading...,
συχνοδιαβαίνω,1,0.74,0.87,Loading...,
συχωροχάρτι,1,0.74,0.87,Loading...,
σφαγιάζω,1,0.74,0.87,Loading...,
σφάγιο,1,0.74,0.87,Loading...,
σφαιρίδιο,1,0.74,0.87,Loading...,
σφαίριση,1,0.74,0.87,Loading...,
σφαιριστήριο,1,0.74,0.87,Loading...,
σφακιώτης,1,0.74,0.87,Loading...,
σφάξιμο,1,0.74,0.87,Loading...,
σφηνοειδής,1,0.74,0.87,Loading...,
σφιχτοχέρης,1,0.74,0.87,Loading...,
σφόδρα,1,0.74,0.87,Loading...,
σφοδρότητα,1,0.74,0.87,Loading...,
σφονδύλι,1,0.74,0.87,Loading...,
σφουγγαρίστρα,1,0.74,0.87,Loading...,
σφουγγίζω,1,0.74,0.87,Loading...,
σφριγηλός,1,0.74,0.87,Loading...,
σφρίγος,1,0.74,0.87,Loading...,
σφυριχτό,1,0.74,0.87,Loading...,
σφυροκοπάω,1,0.74,0.87,Loading...,
σχεδιαστήριο,1,0.74,0.87,дизайн-студия,
σχετικότητα,1,0.74,0.87,Loading...,
σχηματικός,1,0.74,0.87,Loading...,
σχισματικός,1,0.74,0.87,Loading...,
σχοινοβάτης,1,0.74,0.87,канатоходка,
σχολάριος,1,0.74,0.87,Loading...,
σχόλασμα,1,0.74,0.87,Loading...,
σχολαστικός,1,0.74,0.87,Loading...,
σωζόπολη,1,0.74,0.87,Loading...,
σωληνώνω,1,0.74,0.87,трубка,
σωληνωτής,1,0.74,0.87,Loading...,
σωματότυπος,1,0.74,0.87,Loading...,
σωματώδης,1,0.74,0.87,Loading...,
σώος,1,0.74,0.87,Loading...,
σωσμένη,1,0.74,0.87,Loading...,
σωφρονίζω,1,0.74,0.87,Loading...,
σωφροσύνη,1,0.74,0.87,Loading...,
ταγκό,1,0.74,0.87,Loading...,
ταγματάρχης,1,0.74,0.87,Loading...,
ταεκβοντό,1,0.74,0.87,Loading...,
ταϊλάνδη,1,0.74,0.87,Loading...,
τάιμ,1,0.74,0.87,Loading...,
τάιμάουτ,1,0.74,0.87,Loading...,
τακτικότητα,1,0.74,0.87,Loading...,
ταλαίπωρος,1,0.74,0.87,бедный,
ταλάντευση,1,0.74,0.87,Loading...,
τάλαντο,1,0.74,0.87,Loading...,
ταλαντούχος,1,0.74,0.87,Loading...,
τάμα,1,0.74,0.87,Loading...,
ταμάρα,1,0.74,0.87,Loading...,
ταμειακός,1,0.74,0.87,Loading...,
τάμεσης,1,0.74,0.87,Loading...,
ταμπάκος,1,0.74,0.87,Loading...,
τάνα,1,0.74,0.87,Loading...,
τανάγρα,1,0.74,0.87,Loading...,
τανάλια,1,0.74,0.87,Loading...,
τανγκανίκα,1,0.74,0.87,Танганьика,
τανζιμάτ,1,0.74,0.87,Loading...,
τάνταλος,1,0.74,0.87,Loading...,
τάξιμο,1,0.74,0.87,Loading...,
ταξινομία,1,0.74,0.87,Loading...,
τάο,1,0.74,0.87,Loading...,
ταοϊσμός,1,0.74,0.87,Loading...,
ταπέτο,1,0.74,0.87,Loading...,
ταπετσαρία,1,0.74,0.87,Loading...,
τάπητας,1,0.74,0.87,Loading...,
ταπί,1,0.74,0.87,ковер,
ταραντέλα,1,0.74,0.87,тарантелла,
ταραχώδης,1,0.74,0.87,Loading...,
ταρσίζιος,1,0.74,0.87,Loading...,
τασμανία,1,0.74,0.87,Loading...,
τατζικιστάν,1,0.74,0.87,Loading...,
ταυ,1,0.74,0.87,Loading...,
ταΰλάνδη,1,0.74,0.87,Loading...,
ταυρίδα,1,0.74,0.87,Loading...,
ταυτοχρόνως,1,0.74,0.87,Loading...,
ταχίνι,1,0.74,0.87,Loading...,
ταχογράφος,1,0.74,0.87,Loading...,
ταχυδακτυλουργία,1,0.74,0.87,Loading...,
ταχυδακτυλουργός,1,0.74,0.87,Loading...,
ταχυκαρδία,1,0.74,0.87,Loading...,
ταχύπλοο,1,0.74,0.87,Loading...,
τεγέα,1,0.74,0.87,Loading...,
τειχίζω,1,0.74,0.87,Loading...,
τείχιση,1,0.74,0.87,Loading...,
τείχισμα,1,0.74,0.87,Loading...,
τειχοποιία,1,0.74,0.87,каменная кладка,
τεκμηρίωση,1,0.74,0.87,Loading...,
τεκνοποίηση,1,0.74,0.87,Loading...,
τεκνοποιώ,1,0.74,0.87,Loading...,
τεκτονικός,1,0.74,0.87,Loading...,
τελειωμός,1,0.74,0.87,Loading...,
τελειωτικός,1,0.74,0.87,Loading...,
τελετάρχης,1,0.74,0.87,Loading...,
τελικώς,1,0.74,0.87,Loading...,
τελοσπάντων,1,0.74,0.87,Loading...,
τελώνιο,1,0.74,0.87,Loading...,
τενερίφη,1,0.74,0.87,Loading...,
τενόρος,1,0.74,0.87,Loading...,
τέξας,1,0.74,0.87,Loading...,
